OBJECTID,x_coord,y_coord,presence
68,-108.19591417500,38.91126341900,1
69,-108.19048319300,38.91337174100,1
70,-108.18942551800,38.91588685000,1
71,-108.18671596900,38.91696869000,1
72,-108.18531365900,38.91725532800,1
73,-108.18855798700,38.91500842100,1
74,-108.18988899300,38.91937271800,1
75,-108.18916407000,38.91976105400,1
76,-108.18982957300,38.92007541900,1
77,-108.18944928600,38.92226669100,1
78,-108.19012667300,38.92200781000,1
79,-108.19020986100,38.92150853700,1
80,-108.19054261300,38.92132362000,1
81,-108.19276491800,38.91940970300,1
82,-108.19237274700,38.92223895300,1
83,-108.18631191400,38.92698185600,1
84,-108.18669220100,38.92772146200,1
85,-108.16489697000,38.93877764300,1
86,-108.16810564600,38.93972048200,1
87,-108.16877115000,38.93879613000,1
88,-108.17171837800,38.94053390100,1
89,-108.17331083200,38.94125487900,1
90,-108.16292422800,38.94064482100,1
91,-108.16522972200,38.93668856300,1
92,-108.16865231000,38.93709529200,1
93,-108.17447546300,38.93975745500,1
94,-108.17376242400,38.93874066900,1
95,-108.17380996000,38.94275227000,1
96,-108.16339958800,38.94269681200,1
97,-108.16960302900,38.93992383700,1
98,-108.17535487800,38.93888856600,1
99,-108.16316190800,38.93894402700,1
100,-108.16190220500,38.93840789900,1
101,-108.16413639500,38.93731714300,1
102,-108.16601406500,38.93813058900,1
103,-108.16137931000,38.94639394200,1
104,-108.16261524500,38.94537725100,1
105,-108.16525349000,38.94578392900,1
106,-108.16646565600,38.94661576400,1
107,-108.16380364300,38.95258620400,1
108,-108.16456421800,38.95247530200,1
109,-108.16622797700,38.95057146800,1
110,-108.16558624100,38.94961028900,1
111,-108.17010215600,38.94868606600,1
112,-108.17031606800,38.94798364900,1
113,-108.17231257800,38.94833485800,1
114,-108.17029230000,38.95134779500,1
115,-108.14516955300,38.94238254700,1
116,-108.14495564100,38.94147671600,1
117,-108.14593012800,38.94118093200,1
118,-108.14764142200,38.94180947200,1
119,-108.14714229400,38.94241951900,1
120,-108.14894866000,38.94177249900,1
121,-108.15089763400,38.94249346400,1
122,-108.15199096100,38.94045995400,1
123,-108.13887104000,38.93689192800,1
124,-108.13986929500,38.93829697500,1
125,-108.14143798100,38.93999778500,1
126,-108.14226986000,38.93870369400,1
127,-108.14162812500,38.93750201800,1
128,-108.15258516000,38.94025660000,1
129,-108.15194342500,38.94288167300,1
130,-108.13963161500,38.94912969500,1
131,-108.12354069700,38.95029420600,1
132,-108.13026703400,38.96506150600,1
133,-108.12986297800,38.96683559200,1
134,-108.12603633500,38.96836940200,1
135,-108.13511570000,38.96687255200,1
136,-108.13409367700,38.96727910700,1
137,-108.13359455000,38.96674319300,1
138,-108.13452150100,38.96809221000,1
139,-108.13300035100,38.96783349700,1
140,-108.12905486700,38.96676167300,1
141,-108.12758125300,38.96690951200,1
142,-108.11859695900,38.96692799200,1
143,-108.11883463900,38.96783349700,1
144,-108.11816913600,38.96842484100,1
145,-108.11800276000,38.96742694500,1
146,-108.11336800500,38.96650295400,1
147,-108.11063468800,38.96591159400,1
148,-108.11215583900,38.96833244400,1
149,-108.11583987400,38.96578223400,1
150,-108.12972037000,38.97845845700,1
151,-108.12843690000,38.97893885300,1
152,-108.12762878900,38.97962248700,1
153,-108.12934008300,38.98065716300,1
154,-108.12582242300,38.97908666600,1
155,-108.12634531800,38.97808892000,1
156,-108.12819922000,38.97810739700,1
157,-108.12318417800,38.97625968300,1
158,-108.11822251600,38.99089439200,1
159,-108.11748570900,38.99131928200,1
160,-108.11835324000,38.99157791000,1
161,-108.11638049900,38.99307423800,1
162,-108.11273211500,38.99525401800,1
163,-108.11214979900,38.99586360500,1
164,-108.11255385500,38.99793246800,1
165,-108.11067618500,38.99856974000,1
166,-108.10932141100,38.99835731700,1
167,-108.10214744400,39.00242095500,1
168,-108.09929528700,39.00288271700,1
169,-108.10157701300,39.00448962600,1
170,-108.09965180700,39.00742629700,1
171,-108.10445293800,39.00339988700,1
172,-108.13338806800,38.99282731600,1
173,-108.13231850900,38.99318753900,1
174,-108.13143909400,38.99508099300,1
175,-108.13053591100,38.99445292600,1
176,-108.13083301100,38.99330761300,1
177,-108.13032199900,38.99580141500,1
178,-108.12906229700,38.99618933200,1
179,-108.12613883600,38.99541349600,1
180,-108.12544956500,38.99458223400,1
181,-108.13010808700,38.99667884300,1
182,-108.12925244000,38.99648488600,1
183,-108.12956142400,38.99535807900,1
184,-108.13269879600,38.99362165200,1
185,-108.14772966200,38.99577309100,1
186,-108.14868038100,38.99854388000,1
