,newID,ID,X,Y,YEAR,PresenceAb,Percent_Cov,X0716_blue,X0716_green,X0716_nir,X0716_red,,,,,,,,,
38,386,311,-109.5,39.04560089,2016,0,0,1924.156514,2214.998307,3397.090647,2665.320829,,,,,,,,,
39,311,192,-109.2679977,39.19440079,2016,0,0,1855.830539,2142.528036,3271.589961,2521.716612,,,,,,,,,
40,417,376,-109.2860031,38.88639832,2016,0,0,1651.144657,1901.209869,2983.978658,2299.658116,,,,,,,,,
41,406,355,-109.0960007,39.23680115,2016,0,0,1743.677771,2064.282924,3376.806501,2478.647925,,,,,,,,,
42,377,294,-109.038002,39.34809875,2016,0,0,1860.130033,2109.973379,3226.24429,2452.3711,,,,,,,,,
43,288,156,-110.1880035,38.97320175,2016,0,0,1869.719549,2117.659656,2934.46562,2470.837893,,,,,,,,,
44,254,94,-110.1139984,38.8158989,2016,0,0,1847.109333,2257.146068,4367.82156,3202.628653,,,,,,,,,
45,18,GR022,-110.179932,38.906398,2017,0,0,1627.608208,1695.187435,2850.498029,1818.426632,,,,,,,,,
46,212,25,-109.3209991,39.13240051,2016,0,0,1770.928513,2132.734367,3185.428155,2506.436689,,,,,,,,,
47,418,377,-110.038002,39.04439926,2016,0,0,1738.261154,2018.178733,3197.034105,2423.479111,,,,,,,,,
48,363,272,-109.9520035,38.75049973,2016,0,0,1807.111149,2215.356653,4311.026878,3212.581228,,,,,,,,,
49,357,259,-109.8610001,38.96659851,2016,0,0,1826.203958,2083.319182,3122.008616,2436.626392,,,,,,,,,
50,255,96,-109.7320023,38.69760132,2016,0,0,1717.520121,2053.608937,4074.038782,2859.284995,,,,,,,,,
51,282,144,-109.9830017,38.97460175,2016,0,0,1655.419805,1884.549686,3044.218306,2270.297257,,,,,,,,,
52,362,270,-109.5569992,38.85879898,2016,0,0,1688.113196,1832.208137,2986.405726,2239.809031,,,,,,,,,
53,250,90,-110.2360001,38.69670105,2016,0,0,1773.078334,2131.712839,3832.879569,2963.562645,,,,,,,,,
54,36,GR040,-109.30802,38.810934,2017,0,0,1683.438735,1869.289759,2938.831993,2260.840683,,,,,,,,,
55,211,21,-109.4550018,38.89220047,2016,0,0,1800.478019,1960.971379,3142.620913,2323.769403,,,,,,,,,
56,402,348,-108.6719971,39.22890091,2016,0,0,1669.282374,1911.268194,2949.136231,2206.400351,,,,,,,,,
57,42,GR106,-110.097506,39.165739,2017,0,0,1728.794516,2021.836552,3282.844175,2381.601855,,,,,,,,,
58,313,194,-108.6989975,39.31629944,2016,0,0,1582.949778,1787.279086,2945.518496,2180.375328,,,,,,,,,
59,187,5661,-110.13485,38.936333,2014,0,0,1718.836392,1872.652643,3022.760726,2272.402709,,,,,,,,,
60,438,415,-109.3519974,38.97489929,2016,0,0,1650.305518,1745.316495,2604.559016,1977.912406,,,,,,,,,
61,225,46,-109.8420029,38.95069885,2016,0,0,1576.079056,1776.838658,2992.760876,2150.740862,,,,,,,,,
62,393,328,-108.8720016,39.29299927,2016,0,0,1411.448742,1540.523698,2749.915604,1748.351543,,,,,,,,,
63,171,GR802,-110.179381,38.906252,2017,0,0,1508.55807,1588.174045,2537.737145,1711.767312,,,,,,,,,
64,302,180,-108.6159973,39.26210022,2016,0,0,1591.010783,1737.69782,3113.195499,2066.162447,,,,,,,,,
65,172,GR803,-110.179408,38.906335,2017,0,0,1452.647412,1514.789801,2332.494126,1629.009588,,,,,,,,,
66,27,GR031,-109.633137,38.57442,2017,0,0,1553.89032,1692.951171,2668.398957,2044.771431,,,,,,,,,
67,416,372,-108.4820023,39.13679886,2016,0,0,1531.288149,1700.250319,2715.367739,1973.246439,,,,,,,,,
68,228,51,-109.1699982,38.80509949,2016,0,0,1619.649302,1781.270555,2925.10924,2140.863986,,,,,,,,,
69,383,305,-109.7710037,38.71519852,2016,0,0,1632.005485,1969.251422,3987.973681,2831.643703,,,,,,,,,
70,156,GR519,-110.366055,38.840374,2017,0,0,1563.256573,1554.337484,2601.370797,1824.885243,,,,,,,,,
71,409,360,-109.973999,38.63750076,2016,0,0,1592.17729,1730.233374,3136.804077,2145.362251,,,,,,,,,
72,307,187,-109.7939987,38.87609863,2016,0,0,1623.988685,1710.530549,2981.289116,2065.639652,,,,,,,,,
73,370,284,-109.2710037,38.97689819,2016,0,0,1629.329676,1783.955785,2706.28632,2047.05349,,,,,,,,,
74,412,366,-109.9120026,38.96749878,2016,0,0,1508.085473,1666.997535,2862.146119,2042.652281,,,,,,,,,
75,4,GR005,-110.110466,39.14764,2017,0,0,1362.489128,1480.630822,3010.340168,1628.712094,,,,,,,,,
76,486,496,-109.3970032,38.8885994,2016,0,0,1659.040936,1850.443606,2782.752025,2194.245398,,,,,,,,,
77,297,170,-108.8050003,39.17819977,2016,0,0,897.5789328,930.3808288,4498.571928,669.1534033,,,,,,,,,
78,218,33,-108.3949966,38.95090103,2016,0,0,2860.818556,3208.012242,4148.271425,3352.592423,,,,,,,,,
79,217,32,-109.3519974,38.82310104,2016,0,0,1487.662452,1722.099775,3379.945221,2367.087259,,,,,,,,,
80,440,419,-108.5449982,38.99240112,2016,0,0,1530.172108,1699.326041,2696.097336,1961.404865,,,,,,,,,
81,202,7,-109.0240021,39.33919907,2016,0,0,1846.835411,2106.664479,3373.595089,2422.085919,,,,,,,,,
82,453,441,-109.4290009,39.64730072,2016,0,0,1560.26943,1694.342719,3487.251739,1930.491271,,,,,,,,,
83,295,168,-108.9089966,39.24509811,2016,0,0,1607.965045,1834.947435,3142.262546,2215.872265,,,,,,,,,
84,391,321,-110.5459976,38.39350128,2016,0,0,1554.498306,1755.081597,3354.080443,2476.573763,,,,,,,,,
85,102,GR309,-110.266642,39.249556,2017,0,0,1436.488763,1524.01417,2972.385714,1723.548641,,,,,,,,,
86,384,307,-109.1780014,39.10540009,2016,0,0,1534.320666,1741.028506,3094.803334,2166.297568,,,,,,,,,
87,447,430,-110.0719986,39.79359818,2016,0,0,1599.194847,1734.230574,2845.649341,1981.323641,,,,,,,,,
