,ID,X,Y,YEAR,PresenceAb,Percent_Cov,X0415_blue,blue,green,red,nir
73,284,-109.2710037,38.97689819,2016,0,0,1547.932562,0.800087116,-380018.2169,0.203874781,1659.770127
74,366,-109.9120026,38.96749878,2016,0,0,1545.572272,0.818486908,-727032.5071,0.26539689,1705.138401
75,GR005,-110.110466,39.14764,2017,0,0,1540.041605,0.857053486,-1342233.892,0.292633991,1669.358633
76,496,-109.3970032,38.8885994,2016,0,0,1537.253381,0.801672494,-416989.63,0.214673239,1673.206373
77,170,-108.8050003,39.17819977,2016,0,0,1535.020879,0.796982761,-450210.7184,0.242137324,1720.256358
78,33,-108.3949966,38.95090103,2016,0,0,1534.43027,0.80947118,-539252.7202,0.236674257,1687.718555
79,32,-109.3519974,38.82310104,2016,0,0,1528.730804,0.81784282,-988110.5234,0.322178023,1764.640908
80,419,-108.5449982,38.99240112,2016,0,0,1528.168881,0.794149188,-342425.1317,0.215542951,1635.307747
81,7,-109.0240021,39.33919907,2016,0,0,1523.964691,0.841036845,-1036953.594,0.286768971,1644.206542
82,441,-109.4290009,39.64730072,2016,0,0,1521.599399,0.869846139,-1610561.725,0.317917717,1608.782601
83,168,-108.9089966,39.24509811,2016,0,0,1521.106347,0.830757116,-889397.8418,0.277873528,1668.734377
84,321,-110.5459976,38.39350128,2016,0,0,1504.618773,0.80411543,-621227.8755,0.302127298,1653.058913
85,GR309,-110.266642,39.249556,2017,0,0,1502.669791,0.813352245,-471319.2668,0.227290321,1555.210084
86,307,-109.1780014,39.10540009,2016,0,0,1496.327331,0.824164372,-690712.0938,0.25226235,1633.468566
87,430,-110.0719986,39.79359818,2016,0,0,1495.636593,0.81265552,-462774.0358,0.220879802,1571.498834
88,191,-109.4749985,38.71060181,2016,0,0,1491.603113,0.826345191,-1088543.453,0.321855033,1732.212248
89,451,-109.8300018,38.67490005,2016,0,0,1486.092927,0.819142366,-1191401.277,0.369498057,1721.526243
90,26,-110.1009979,38.65950012,2016,0,0,1485.703203,0.813812191,-974658.9153,0.334724119,1763.05919
91,405,-109.2919998,39.21289825,2016,0,0,1481.150582,0.813611096,-588558.5022,0.248029704,1659.295231
92,330,-110.310997,38.47330093,2016,0,0,1480.430622,0.808347054,-795652.8264,0.326400537,1703.78496
93,GR008,-110.11391,39.156574,2017,0,0,1479.92512,0.826990165,-626715.2769,0.239306302,1565.108088
94,158,-108.8769989,39.09289932,2016,0,0,1477.093648,0.861127454,-1483436.654,0.313788443,1635.716821
95,347,-109.2480011,39.59859848,2016,0,0,1474.869148,0.844428029,-912199.9044,0.260621591,1595.627793
96,361,-109.7679977,39.61579895,2016,0,0,1468.666265,0.837463232,-1045375.931,0.279461572,1718.690935
97,12,-110.3980026,38.45740128,2016,0,0,1459.62468,0.817780276,-1468759.255,0.389625912,1844.097146
98,181,-108.1999969,39.39049911,2016,0,0,1457.647219,0.821284681,-626949.2477,0.247029403,1609.999848
99,109,-108.9430008,39.29800034,2016,0,0,1456.44029,0.835130375,-781810.8289,0.268360043,1547.60318
100,371,-110.1529999,38.98500061,2016,0,0,1448.332728,0.824545205,-467753.5316,0.232198075,1398.813156
101,413,-110.1190033,39.09859848,2016,0,0,1440.62046,0.795564451,-262803.8731,0.174458866,1537.237048
102,153,-109.4850006,39.09049988,2016,0,0,1439.318516,0.799107676,-331910.6835,0.206069867,1559.468758
103,258,-108.9729996,38.20429993,2016,0,0,1438.761612,0.813002951,-549991.3197,0.265676686,1552.732918
104,97,-110,39.72449875,2016,0,0,1432.432137,0.848529504,-1205045.113,0.299714558,1640.786458
105,421,-109.3939972,38.42630005,2016,0,0,1430.044864,0.829624645,-823755.1914,0.286812697,1588.327005
106,337,-109.3970032,39.0060997,2016,0,0,1429.981787,0.820161034,-575217.7324,0.268868216,1485.07545
107,381,-108.487999,39.20069885,2016,0,0,1429.702422,0.799346583,-315275.4618,0.201302417,1531.413361
108,263,-110.038002,39.64580154,2016,0,0,1429.142539,0.826562033,-770923.908,0.266512002,1643.058472
109,133,-109.3379974,38.96699905,2016,0,0,1423.678305,0.825238662,-520288.6621,0.242974063,1434.177629
110,356,-109.3119965,38.86149979,2016,0,0,1420.832608,0.813474903,-465425.0125,0.241575962,1497.844575
111,189,-110.1900024,38.50780106,2016,0,0,1416.999529,0.81827258,-1402373.73,0.391695977,1785.889406
112,GR025,-109.584585,38.562187,2017,0,0,1414.639072,0.824755371,-681770.0832,0.283150646,1511.414419
113,396,-108.3580017,39.10189819,2016,0,0,1413.907393,0.859274979,-960667.6731,0.289801077,1402.76636
114,479,-109.0979996,39.13840103,2016,0,0,1411.584448,0.826485937,-701943.7594,0.283935073,1510.738049
115,314,-110.1949997,38.6631012,2016,0,0,1408.223706,0.805743036,-1002598.291,0.387909603,1701.34654
116,426,-108.6350021,38.08140182,2016,0,0,1405.280594,0.821860636,-654572.0025,0.253134605,1616.316185
117,175,-110.2109985,39.32369995,2016,0,0,1400.71791,0.836247357,-655105.0735,0.258906073,1434.511529
118,408,-108.6220016,39.04380035,2016,0,0,1399.081831,0.82922499,-735060.6302,0.28794367,1501.193003
119,292,-109.5370026,38.19589996,2016,0,0,1387.194882,0.826336063,-1062205.953,0.343533204,1629.826343
120,123,-109.4729996,38.92639923,2016,0,0,1386.765549,0.826503309,-515822.3974,0.258561125,1367.947897
121,226,-109.1200027,39.25170135,2016,0,0,1385.820988,0.849662137,-921990.7608,0.299132673,1426.935644
122,349,-108.4769974,39.0760994,2016,0,0,1381.112,0.837610758,-565900.5634,0.242506919,1367.799648
123,80,-109.1299973,39.27000046,2016,0,0,1380.781369,0.867083622,-1378796.669,0.325959465,1484.283122
124,437,-109.651001,38.56600189,2016,0,0,1377.282017,0.818298949,-736801.7339,0.334430028,1477.069306
125,117,-109.302002,38.92810059,2016,0,0,1373.938908,0.793231407,-226409.3648,0.187766162,1423.362145
126,GR504,-110.105229,39.132962,2017,0,0,1370.452078,0.715741109,-1387.706125,0.049291669,1410.331115
127,167,-110.2870026,38.48490143,2016,0,0,1370.351042,0.819514525,-1175669.118,0.381240032,1658.963033
128,279,-108.9179993,39.35929871,2016,0,0,1368.394563,0.844522008,-866343.8461,0.287335161,1466.842276
129,93,-108.9550018,39.23690033,2016,0,0,1367.41428,0.829704808,-584916.8576,0.259500287,1419.113884
130,179,-109.2929993,39.62810135,2016,0,0,1366.76091,0.858019899,-1078767.532,0.291372587,1492.265325
131,439,-108.5299988,39.20330048,2016,0,0,1364.983578,0.830035539,-593983.3059,0.255924008,1437.538158
132,224,-109.0680008,39.10710144,2016,0,0,1364.966864,0.822192502,-543357.0859,0.270679003,1414.524063
133,GR817,-109.310354,38.810584,2017,0,0,1362.314632,0.854398088,-899910.7174,0.288133243,1402.641144
134,GR512,-110.264797,39.246581,2017,0,0,1360.027978,0.841230765,-582620.2729,0.251874715,1327.293164
135,GR420,-108.827646,38.428917,2017,0,0,1355.577401,0.821662795,-463357.5829,0.250497721,1369.909463
136,112,-110.012001,38.30199814,2016,0,0,1353.877469,0.808637289,-578712.0215,0.309865716,1503.69494
137,10,-108.6320038,39.13330078,2016,0,0,1344.730027,0.791109118,-204982.7743,0.187972168,1385.865818
138,383,-108.737999,39.03910065,2016,0,0,1343.073978,0.848502794,-872659.3439,0.294751194,1411.931494
139,379,-110.1809998,38.61980057,2016,0,0,1341.260409,0.81842067,-1040055.877,0.376111683,1593.418015
140,58,-109.0899963,39.18030167,2016,0,0,1340.581013,0.830427996,-604725.6884,0.274003233,1391.111136
141,493,-108.5940018,38.07709885,2016,0,0,1339.334079,0.814902842,-402711.1555,0.225304482,1424.566158
142,208,-108.8919983,39.23680115,2016,0,0,1335.09359,0.814409407,-343941.636,0.218129023,1342.290958
143,228,-109.5169983,39.58240128,2016,0,0,1334.664423,0.853202447,-1039386.728,0.300710051,1477.091021
144,GR015,-110.071557,39.205041,2017,0,0,1332.653886,0.879733918,-1286498.597,0.312365255,1382.609364
145,161,-109.1699982,39.25429916,2016,0,0,1331.012427,0.837527286,-674327.8074,0.272051361,1402.258877
146,111,-108.7770004,38.04550171,2016,0,0,1327.871354,0.830981406,-605390.7269,0.260092884,1428.386164
147,465,-109.1999969,39.04520035,2016,0,0,1327.554794,0.835116732,-729421.8067,0.300603118,1393.713801
148,49,-109.8889999,38.27019882,2016,0,0,1326.611172,0.824057686,-1039760.933,0.38184144,1502.537698
149,250,-109.689003,39.57360077,2016,0,0,1323.679755,0.84808283,-670832.7413,0.260862602,1335.953766
150,262,-109.552002,38.47639847,2016,0,0,1323.115042,0.836024601,-966771.5855,0.348292985,1432.926242
151,235,-108.5479965,39.23419952,2016,0,0,1322.989038,0.829602511,-541104.3922,0.24913937,1396.60724
