system:index,TCB,blue,green,ndvi,ndwi,nir,presence,red,swir1,swir2,.geo
236_0,1594.0876,119,253,0.78531647,-0.74900794,1763,1.0,212,780,398,
233_0,2856.318,228,402,0.8074373,-0.77268875,3135,1.0,334,1527,787,
232_0,2354.5205,176,340,0.827705,-0.77272725,2652,1.0,250,1212,599,
234_0,2274.3414000000002,184,370,0.7822287,-0.7373092,2447,1.0,299,1187,617,
235_0,2115.4335,201,376,0.7456556,-0.7092034,2210,1.0,322,1074,590,
239_0,2716.7747000000004,230,455,0.7340596,-0.7121164,2706,1.0,415,1574,895,
238_0,3128.4270000000006,397,637,0.58285195,-0.6067901,2603,1.0,686,1968,1278,
271_0,3298.2432000000003,348,640,0.55219364,-0.600624,2565,0.0,740,2326,1533,
273_0,3476.0399,344,630,0.59358585,-0.64123005,2882,0.0,735,2386,1467,
240_0,2218.9263,174,332,0.8053936,-0.7636169,2477,1.0,267,1122,544,
244_0,2722.8954,196,367,0.81528664,-0.7904055,3135,1.0,319,1306,635,
243_0,2668.7981000000004,150,318,0.8713092,-0.8270329,3359,1.0,231,1107,452,
250_0,2566.5528000000004,191,389,0.77307695,-0.7534073,2766,1.0,354,1353,693,
247_0,2728.3181999999997,204,400,0.8014815,-0.76744187,3040,1.0,335,1377,694,
246_0,2783.7865,200,366,0.83807683,-0.8017335,3326,1.0,293,1258,549,
249_0,2556.2049,172,341,0.83076924,-0.79433054,2975,1.0,275,1241,572,
251_0,2654.8509,174,347,0.8448276,-0.80489177,3210,1.0,270,1165,517,
248_0,2471.2695000000003,184,354,0.81615067,-0.77868086,2845,1.0,288,1182,542,
147_0,2523.9174000000003,188,385,0.80599874,-0.7604977,2830,1.0,304,1244,626,
150_0,3035.8111000000004,188,370,0.84136856,-0.8113208,3552,1.0,306,1511,709,
143_0,2551.2885,160,321,0.86221296,-0.81353474,3122,1.0,231,1133,483,
146_0,2563.3222,149,297,0.8701601,-0.830721,3212,1.0,223,1083,451,
144_0,2799.8161000000005,146,297,0.88727945,-0.8469072,3583,1.0,214,1168,462,
145_0,2637.8074000000006,204,396,0.79063886,-0.7545708,2831,1.0,331,1455,733,
149_0,2801.4017999999996,194,368,0.82046884,-0.7927928,3184,1.0,314,1437,688,
148_0,2434.2636,140,299,0.85393256,-0.8170694,2970,1.0,234,1077,480,
270_0,388.5907,42,115,0.53103447,-0.48660713,333,0.0,102,187,114,
269_0,930.6702,98,239,0.5216495,-0.5107472,738,0.0,232,568,356,
268_0,3269.3519000000006,361,637,0.52965975,-0.59899276,2540,0.0,781,2243,1478,
167_0,3031.5592000000006,150,344,0.87493724,-0.83124846,3733,1.0,249,1412,591,
166_0,2938.844600000001,168,342,0.87286824,-0.827534,3624,1.0,246,1339,554,
165_0,1870.6951000000001,133,270,0.82605076,-0.78084415,2194,1.0,209,841,406,
164_0,2555.6456000000007,126,320,0.85406697,-0.8128655,3100,1.0,244,1171,506,
163_0,2818.7577,158,321,0.873673,-0.83329004,3530,1.0,238,1218,497,
162_0,3055.3174,204,408,0.8474184,-0.7962038,3596,1.0,297,1488,654,
160_0,2902.5316000000003,160,308,0.89016604,-0.8463074,3700,1.0,215,1240,484,
159_0,2901.1899000000003,154,303,0.8900537,-0.8484621,3696,1.0,215,1247,493,
161_0,2637.8917,151,298,0.88616514,-0.83648837,3347,1.0,202,1114,443,
156_0,2057.9145000000003,129,271,0.85494506,-0.80663574,2532,1.0,198,862,376,
155_0,2304.9965,155,304,0.8494624,-0.80104715,2752,1.0,224,1068,476,
153_0,2632.6874000000007,158,360,0.8662457,-0.80060923,3251,1.0,233,1123,455,
157_0,2505.1014,138,294,0.87930524,-0.8313253,3192,1.0,205,1014,400,
151_0,2359.0286000000006,123,287,0.8732748,-0.82462573,2986,1.0,202,959,387,
152_0,2637.9790000000003,134,282,0.88959426,-0.84777325,3423,1.0,200,1043,399,
154_0,2383.8266000000003,168,355,0.8397074,-0.7725088,2766,1.0,241,1169,502,
180_0,2483.5060000000003,160,377,0.8272467,-0.7682852,2877,1.0,272,1175,543,
181_0,2960.4833000000003,205,470,0.80399674,-0.750332,3295,1.0,358,1506,709,
179_0,2282.7446,152,321,0.8467715,-0.7916261,2760,1.0,229,985,432,
183_0,2240.2648000000004,143,306,0.8459441,-0.7969476,2708,1.0,226,975,433,
182_0,2078.0805,127,286,0.84444445,-0.7939481,2490,1.0,210,927,426,
178_0,2677.6451000000006,158,372,0.84785694,-0.7948718,3255,1.0,268,1150,498,
184_0,2800.3526,170,390,0.8425876,-0.79516804,3418,1.0,292,1169,498,
176_0,2613.7356000000004,182,404,0.8272997,-0.7680161,3079,1.0,291,1150,525,
177_0,2804.2199000000005,207,426,0.82519424,-0.7706595,3289,1.0,315,1243,583,
174_0,2832.4283000000005,200,452,0.8011429,-0.7491676,3152,1.0,348,1392,725,
173_0,2763.6145000000006,164,389,0.85024685,-0.7931951,3373,1.0,273,1170,502,
185_0,2521.8827000000006,164,370,0.8397319,-0.7816465,3019,1.0,263,1103,484,
175_0,2574.5613000000003,171,397,0.8201504,-0.7680397,3026,1.0,299,1131,516,
136_0,2403.8338000000003,146,323,0.86132514,-0.8067604,3020,1.0,225,940,382,
137_0,2868.6771000000003,150,334,0.890752,-0.8352651,3721,1.0,215,1121,408,
139_0,2518.7096,161,328,0.87129,-0.81321186,3184,1.0,219,985,403,
138_0,2721.4543000000003,167,359,0.856103,-0.8045727,3315,1.0,257,1216,491,
140_0,2527.3825000000006,167,335,0.8589705,-0.8063024,3124,1.0,237,1061,426,
158_0,2652.6647000000003,149,324,0.8776878,-0.8241997,3362,1.0,219,1077,434,
135_0,2032.5770000000002,174,345,0.7848254,-0.7313084,2223,1.0,268,999,509,
134_0,2436.2113,171,363,0.8312864,-0.77284104,2833,1.0,261,1156,515,
141_0,2668.8417000000004,172,378,0.8431936,-0.7892389,3209,1.0,273,1173,508,
133_0,2015.4501,159,345,0.80421215,-0.74040633,2313,1.0,251,885,419,
265_0,2492.0262,479,627,0.24530168,-0.33510074,1259,0.0,763,1981,1608,
142_0,2245.2303,154,315,0.8364312,-0.79221636,2717,1.0,242,935,422,
131_0,2005.6850000000004,172,353,0.7696039,-0.72226596,2189,1.0,285,936,509,
132_0,2540.7643000000003,227,412,0.7690339,-0.7406358,2765,1.0,361,1278,595,
126_0,2213.3024000000005,179,347,0.8084404,-0.7531128,2464,1.0,261,1116,543,
127_0,1843.1476,139,289,0.81329924,-0.7607616,2127,1.0,219,832,402,
128_0,1842.8781000000001,147,297,0.7968007,-0.74989474,2078,1.0,235,849,440,
125_0,1608.6959000000002,133,272,0.8074504,-0.7457944,1868,1.0,199,671,332,
124_0,2730.5049000000004,200,400,0.8043924,-0.770181,3081,1.0,334,1344,652,
253_0,3466.2115000000003,407,670,0.55099684,-0.60047704,2684,0.0,777,2518,1510,
252_0,3524.2044000000005,343,643,0.61117136,-0.6441616,2971,0.0,717,2481,1346,
264_0,2987.755,277,617,0.6254222,-0.62193626,2647,0.0,610,1868,1018,
3_0,2582.684,175,390,0.8291944,-0.771261,3020,1.0,282,1207,513,
2_0,2658.9179000000004,181,372,0.82841665,-0.7817542,3037,1.0,285,1349,629,
8_0,2464.9601000000002,222,406,0.76802284,-0.7183489,2477,1.0,325,1540,730,
7_0,2754.1688000000004,193,392,0.8433258,-0.7852643,3259,1.0,277,1275,562,
210_0,3098.1808,184,372,0.87153286,-0.8236131,3846,1.0,264,1350,566,
215_0,3091.7041000000004,205,399,0.8585257,-0.807386,3744,1.0,285,1396,612,
213_0,2908.9247,198,397,0.8536973,-0.79609656,3497,1.0,276,1316,574,
214_0,3140.8417,185,365,0.87592816,-0.8294791,3916,1.0,259,1371,572,
216_0,3380.9640000000004,200,443,0.87167734,-0.8042854,4084,1.0,280,1602,678,
212_0,2773.1822,142,327,0.88425803,-0.8312693,3549,1.0,218,1106,455,
211_0,2902.5872,175,367,0.8757091,-0.8166833,3637,1.0,241,1201,512,
219_0,2721.8482,164,317,0.8750688,-0.829753,3407,1.0,227,1165,483,
241_0,2956.2778,197,405,0.81833243,-0.7809627,3293,1.0,329,1581,788,
245_0,2914.7209000000007,185,381,0.8401084,-0.7981992,3395,1.0,295,1429,695,
242_0,2772.4607000000005,210,404,0.7886723,-0.75815624,2937,1.0,347,1540,880,
220_0,2748.6642,252,407,0.7774463,-0.7595984,2979,1.0,373,1422,727,
222_0,3379.8319,268,492,0.81701916,-0.7649307,3694,1.0,372,1868,915,
221_0,3235.0341,267,543,0.77731854,-0.7273412,3440,1.0,431,1727,878,
217_0,2783.54,169,352,0.85211855,-0.8095238,3344,1.0,267,1281,587,
218_0,2147.4237000000003,162,312,0.82794917,-0.7795053,2518,1.0,237,965,463,
267_0,906.3219,151,305,0.5247148,-0.44896117,802,0.0,250,311,230,
266_0,1472.8794000000003,229,369,0.58386683,-0.5404732,1237,0.0,325,875,476,
223_0,2986.2294,236,433,0.8149447,-0.7719252,3364,1.0,343,1509,720,
6_0,2897.4654,207,413,0.84170717,-0.7838828,3409,1.0,293,1372,590,
5_0,3015.7025,180,375,0.87180126,-0.81892806,3767,1.0,258,1292,496,
9_0,2841.2629000000006,232,462,0.80656207,-0.74531424,3166,1.0,339,1447,629,
10_0,2821.9235000000003,212,411,0.8338028,-0.7757774,3255,1.0,295,1412,586,
14_0,2842.5768000000003,223,401,0.83189535,-0.78277355,3291,1.0,302,1388,610,
12_0,2747.3323000000005,221,383,0.84009135,-0.7875173,3222,1.0,280,1308,564,
4_0,2960.4846,187,418,0.84847695,-0.7893145,3550,1.0,291,1343,565,
11_0,2647.0774,234,418,0.7969192,-0.74481076,2858,1.0,323,1432,690,
13_0,2803.3613,221,395,0.8350916,-0.7864865,3305,1.0,297,1291,561,
17_0,2844.0310999999997,259,484,0.7850144,-0.7296845,3097,1.0,373,1424,699,
15_0,3147.4307000000003,253,437,0.83869374,-0.7895497,3716,1.0,326,1464,622,
16_0,2992.9392000000007,240,420,0.8491062,-0.7866396,3517,1.0,287,1436,621,
20_0,3075.0638000000004,250,430,0.828454,-0.78446114,3560,1.0,334,1497,648,
21_0,2940.5539,242,424,0.8189725,-0.7750663,3346,1.0,333,1471,653,
22_0,3049.1618,273,481,0.8004827,-0.74934864,3357,1.0,372,1581,724,
27_0,3177.4688000000006,275,553,0.80378926,-0.725422,3475,1.0,378,1645,754,
26_0,3143.1158000000005,230,484,0.84472364,-0.7670277,3671,1.0,309,1497,647,
25_0,2879.05,262,453,0.7918811,-0.74742126,3134,1.0,364,1527,694,
24_0,3147.8653,262,480,0.82557845,-0.7641278,3590,1.0,343,1547,699,
23_0,3067.9481,258,459,0.8203845,-0.76551723,3456,1.0,341,1545,735,
19_0,2799.4398000000006,201,384,0.838587,-0.7961242,3383,1.0,297,1196,516,
18_0,2899.0999,217,436,0.8356531,-0.7743855,3429,1.0,307,1297,565,
254_0,3605.3315000000002,392,705,0.5903614,-0.62309545,3036,0.0,782,2391,1347,
256_0,3571.2841000000003,348,657,0.63319,-0.66177607,3228,0.0,725,2245,1181,
38_0,2995.0829000000003,241,455,0.8022094,-0.7655243,3426,1.0,376,1390,642,
39_0,2936.6769000000004,231,436,0.813658,-0.7742103,3426,1.0,352,1295,618,
